Strike,Expiry,Type,Symbol,Last,Bid,Ask,Chg,PctChg,Vol,Open_Int,IV,Root,IsNonstandard,Underlying,Underlying_Price,Quote_Time,Last_Trade_Date,JSON
11.0,2018-09-12,call,VIX180912C00011000,3.38,2.15,3.7,0.18000007,5.625002,6.0,15.0,2.000005,VIX,True,^VIX,13.29,2018-09-04 19:13:08,2018-08-31 18:55:03,"{'percentChange': 5.625002, 'contractSize': 'REGULAR', 'lastPrice': 3.38, 'contractSymbol': 'VIX180912C00011000', 'volume': 6, 'expiration': 1536710400, 'strike': 11.0, 'inTheMoney': True, 'impliedVolatility': 2.000005, 'currency': 'USD', 'bid': 2.15, 'openInterest': 15, 'lastTradeDate': 1535741703, 'change': 0.18000007, 'ask': 3.7}"
11.0,2018-09-12,put,VIX180912P00011000,0.01,0.0,0.05,-0.01,-50.0,8.0,19.0,0.710940390625,VIX,True,^VIX,13.29,2018-09-04 19:13:08,2018-09-04 17:40:31,"{'percentChange': -50.0, 'contractSize': 'REGULAR', 'lastPrice': 0.01, 'contractSymbol': 'VIX180912P00011000', 'volume': 8, 'expiration': 1536710400, 'strike': 11.0, 'inTheMoney': False, 'impliedVolatility': 0.710940390625, 'currency': 'USD', 'bid': 0.0, 'openInterest': 19, 'lastTradeDate': 1536082831, 'change': -0.01, 'ask': 0.05}"
11.0,2018-09-19,call,VIX180919C00011000,3.7,3.3,3.5,0.5,15.625,256.0,954.0,2.0468798828125,VIX,True,^VIX,13.29,2018-09-04 19:13:08,2018-09-04 16:59:12,"{'percentChange': 15.625, 'contractSize': 'REGULAR', 'lastPrice': 3.7, 'contractSymbol': 'VIX180919C00011000', 'volume': 256, 'expiration': 1537315200, 'strike': 11.0, 'inTheMoney': True, 'impliedVolatility': 2.0468798828125, 'currency': 'USD', 'bid': 3.3, 'openInterest': 954, 'lastTradeDate': 1536080352, 'change': 0.5, 'ask': 3.5}"
11.0,2018-09-19,put,VIX180919P00011000,0.02,0.0,0.05,0.0,0.0,22.0,35043.0,0.5312546875,VIX,True,^VIX,13.29,2018-09-04 19:13:08,2018-08-31 17:42:55,"{'percentChange': 0.0, 'contractSize': 'REGULAR', 'lastPrice': 0.02, 'contractSymbol': 'VIX180919P00011000', 'volume': 22, 'expiration': 1537315200, 'strike': 11.0, 'inTheMoney': False, 'impliedVolatility': 0.5312546875, 'currency': 'USD', 'bid': 0.0, 'openInterest': 35043, 'lastTradeDate': 1535737375, 'change': 0.0, 'ask': 0.05}"
11.0,2018-09-26,call,VIX180926C00011000,3.8,2.45,4.4,-0.120000124,-3.0612276,1.0,67.0,1.7304700976562502,VIX,True,^VIX,13.29,2018-09-04 19:13:08,2018-08-31 16:49:38,"{'percentChange': -3.0612276, 'contractSize': 'REGULAR', 'lastPrice': 3.8, 'contractSymbol': 'VIX180926C00011000', 'volume': 1, 'expiration': 1537920000, 'strike': 11.0, 'inTheMoney': True, 'impliedVolatility': 1.7304700976562502, 'currency': 'USD', 'bid': 2.45, 'openInterest': 67, 'lastTradeDate': 1535734178, 'change': -0.120000124, 'ask': 4.4}"
11.0,2018-09-26,put,VIX180926P00011000,0.05,0.0,0.05,0.0,0.0,4.0,8.0,0.51562984375,VIX,True,^VIX,13.29,2018-09-04 19:13:08,2018-09-01 03:48:31,"{'percentChange': 0.0, 'contractSize': 'REGULAR', 'lastPrice': 0.05, 'contractSymbol': 'VIX180926P00011000', 'volume': 4, 'expiration': 1537920000, 'strike': 11.0, 'inTheMoney': False, 'impliedVolatility': 0.51562984375, 'currency': 'USD', 'bid': 0.0, 'openInterest': 8, 'lastTradeDate': 1535773711, 'change': 0.0, 'ask': 0.05}"
11.0,2018-10-03,call,VIX181003C00011000,4.2,3.2,3.9,0.0,0.0,2.0,0.0,1.6171894140625,VIX,True,^VIX,13.29,2018-09-04 19:13:08,2018-09-01 03:48:16,"{'percentChange': 0.0, 'contractSize': 'REGULAR', 'lastPrice': 4.2, 'contractSymbol': 'VIX181003C00011000', 'volume': 2, 'expiration': 1538524800, 'strike': 11.0, 'inTheMoney': True, 'impliedVolatility': 1.6171894140625, 'currency': 'USD', 'bid': 3.2, 'openInterest': 0, 'lastTradeDate': 1535773696, 'change': 0.0, 'ask': 3.9}"
11.0,2018-10-17,call,VIX181017C00011000,4.2,4.3,4.5,-0.3000002,-6.666671,6.0,685.0,1.89453177734375,VIX,True,^VIX,13.29,2018-09-04 19:13:08,2018-09-04 15:03:19,"{'percentChange': -6.666671, 'contractSize': 'REGULAR', 'lastPrice': 4.2, 'contractSymbol': 'VIX181017C00011000', 'volume': 6, 'expiration': 1539734400, 'strike': 11.0, 'inTheMoney': True, 'impliedVolatility': 1.89453177734375, 'currency': 'USD', 'bid': 4.3, 'openInterest': 685, 'lastTradeDate': 1536073399, 'change': -0.3000002, 'ask': 4.5}"
11.0,2018-10-17,put,VIX181017P00011000,0.05,0.0,0.05,0.020000001,66.66667,2500.0,14845.0,0.3711000390625,VIX,True,^VIX,13.29,2018-09-04 19:13:08,2018-09-04 14:04:03,"{'percentChange': 66.66667, 'contractSize': 'REGULAR', 'lastPrice': 0.05, 'contractSymbol': 'VIX181017P00011000', 'volume': 2500, 'expiration': 1539734400, 'strike': 11.0, 'inTheMoney': False, 'impliedVolatility': 0.3711000390625, 'currency': 'USD', 'bid': 0.0, 'openInterest': 14845, 'lastTradeDate': 1536069843, 'change': 0.020000001, 'ask': 0.05}"
11.0,2018-11-21,call,VIX181121C00011000,4.8,4.5,4.8,-0.19999981,-3.9999962,15.0,243.0,1.537111689453125,VIX,True,^VIX,13.29,2018-09-04 19:13:08,2018-08-31 19:50:10,"{'percentChange': -3.9999962, 'contractSize': 'REGULAR', 'lastPrice': 4.8, 'contractSymbol': 'VIX181121C00011000', 'volume': 15, 'expiration': 1542758400, 'strike': 11.0, 'inTheMoney': True, 'impliedVolatility': 1.537111689453125, 'currency': 'USD', 'bid': 4.5, 'openInterest': 243, 'lastTradeDate': 1535745010, 'change': -0.19999981, 'ask': 4.8}"
11.0,2018-11-21,put,VIX181121P00011000,0.08,0.05,0.1,0.0,0.0,15.0,11044.0,0.3320379296875,VIX,True,^VIX,13.29,2018-09-04 19:13:08,2018-09-04 15:09:56,"{'percentChange': 0.0, 'contractSize': 'REGULAR', 'lastPrice': 0.08, 'contractSymbol': 'VIX181121P00011000', 'volume': 15, 'expiration': 1542758400, 'strike': 11.0, 'inTheMoney': False, 'impliedVolatility': 0.3320379296875, 'currency': 'USD', 'bid': 0.05, 'openInterest': 11044, 'lastTradeDate': 1536073796, 'change': 0.0, 'ask': 0.1}"
11.0,2018-12-19,call,VIX181219C00011000,5.0,4.9,5.1,0.099999905,2.0408144,12.0,319.0,1.4692409350585938,VIX,True,^VIX,13.29,2018-09-04 19:13:08,2018-09-04 16:23:55,"{'percentChange': 2.0408144, 'contractSize': 'REGULAR', 'lastPrice': 5.0, 'contractSymbol': 'VIX181219C00011000', 'volume': 12, 'expiration': 1545177600, 'strike': 11.0, 'inTheMoney': True, 'impliedVolatility': 1.4692409350585938, 'currency': 'USD', 'bid': 4.9, 'openInterest': 319, 'lastTradeDate': 1536078235, 'change': 0.099999905, 'ask': 5.1}"
